level,n,batch,env,success,obj_x,obj_y,obj_yaw,cab_x,cab_y,cab_yaw,cab_joint_max,cab_yaw_dev,carry_dist
L1,10,4,3,False,0.2570117950439456,0.4104142189025879,0.1423461052870893,0.9000000000000004,0.0,-3.141592653589793,0.0,0.0,0.7628064386133816
L1,10,4,4,True,0.1931058406829833,0.4423189163208008,-0.465225974048188,0.8999999999999999,0.0,-3.141592653589793,0.0,0.0,0.833873717184874
L1,10,4,5,True,0.1667999267578124,0.3811609745025635,-0.1003401139557523,0.8999999999999999,0.0,-3.141592653589793,0.0,0.0,0.8263570873938778
L1,10,4,6,False,0.2424839973449706,0.407634973526001,0.6736242478490869,0.8999999999999999,0.0,-3.141592653589793,0.0,0.0,0.7736236587572746
L1,10,4,7,False,0.244442844390869,0.4803280830383301,0.2006362784384203,0.8999999999999999,0.0,-3.141592653589793,0.0,0.0,0.812693208797521
L1,10,4,8,False,0.2155280202627182,0.4905557632446289,0.7707895378335189,0.9,0.0,-3.141592653589793,0.0,0.0,0.8421085725118789
L1,10,4,9,False,0.256734037399292,0.4755109548568725,0.0966896966526219,0.9,0.0,-3.141592653589793,0.0,0.0,0.7999386019123657
L1,10,4,10,False,0.1988670170307159,0.4829599857330322,-0.1088377471402207,0.9,0.0,-3.141592653589793,0.0,0.0,0.8513740703278772
L1,10,4,11,True,0.2348040282726288,0.4581999778747558,-0.0407308292020361,0.9,0.0,-3.141592653589793,0.0,0.0,0.8077331864710948
L1,10,4,12,False,0.1714548110961913,0.4078321456909179,-0.3636017253753079,0.8999999999999999,0.0,-3.141592653589793,0.0,0.0,0.8349282312472996
L1,10,4,13,False,0.1675318717956542,0.4148379564285278,0.7611686899916755,0.8999999999999999,0.0,-3.141592653589793,0.0,0.0,0.8417838730511383
L1,10,4,14,False,0.2083059787750243,0.3635720014572143,0.3735826009353741,0.8999999999999999,0.0,-3.141592653589793,0.0,0.0,0.7814251206878249
L1,10,4,15,False,0.1952167987823485,0.4826540946960449,0.3958822482585085,0.8999999999999999,0.0,-3.141592653589793,0.0,0.0,0.8542097727405483
L1,10,4,16,True,0.2253607749938968,0.4058980941772461,0.5129467541547907,0.9000000000000004,0.0,-3.141592653589793,0.0,0.0,0.7873317895103413
L1,10,4,17,False,0.1827677726745609,0.4222660064697265,-0.4908117283564708,0.9000000000000004,0.0,-3.141592653589793,0.0,0.0,0.8323044203499714
L1,10,4,18,False,0.2108510971069339,0.5088438987731934,0.2691960030170756,0.9000000000000004,0.0,-3.141592653589793,0.0,0.0,0.8566494753850147
L1,10,4,19,True,0.2202137947082523,0.4809660911560058,-0.0367920817407862,0.9000000000000004,0.0,-3.141592653589793,0.0,0.0,0.832729047017601
L1,25,0,0,False,0.194317722320557,0.4537711143493652,0.24743682354649,0.9000000000000004,0.0,-3.141592653589793,0.0,0.0,0.8389849231355184
L1,25,0,1,False,0.2548049926757816,0.4977949857711792,0.5241742065268357,0.9000000000000004,0.0,-3.141592653589793,0.0,0.0,0.8149088570723889
L1,25,0,2,False,0.1820959091186527,0.5291240215301514,-0.7496354381811143,0.9000000000000004,0.0,-3.141592653589793,0.0,0.0,0.8918287469376699
L1,25,0,3,False,0.1848467826843265,0.3946962356567383,-0.3662819534626542,0.9000000000000004,0.0,-3.141592653589793,0.0,0.0,0.8168410143219786
