task,level,n_demos,batch,env,success,variant,obj_x,obj_y,obj_yaw,goal_x,goal_y,local_rej,nn_demo_dist,cab_x,cab_y,cab_dyaw,bearing
T1,L1,400,3,1,True,-1,0.6081638336181641,-0.06217598915100098,0.6081612165263101,0.5,0.25,0.12,0.3128597563197493,,,,
T1,L1,400,3,2,True,-1,0.5025582313537598,-0.15768897533416748,-1.2391199201125143,0.5,0.25,0.16000000000000003,0.2924431240293784,,,,
T1,L1,400,3,3,True,-1,0.6248221397399902,0.09261798858642578,-1.074366675379114,0.5,0.25,0.12,0.2600467170358731,,,,
T1,L1,400,3,4,True,-1,0.40196704864501953,0.002370119094848633,-0.712505947950148,0.5,0.25,0.28,0.33866813446625255,,,,
T1,L1,400,3,5,True,-1,0.6215519905090332,-0.13135504722595215,-0.8748032332936452,0.5,0.25,0.24,0.2599961186020569,,,,
T1,L1,400,3,6,True,-1,0.3879249095916748,0.11820602416992188,0.1544313574905224,0.5,0.25,0.12,0.16726233441663363,,,,
T1,L1,400,3,7,True,-1,0.6325480937957764,-0.1696479320526123,-0.9229781752901769,0.5,0.25,0.28,0.18712453578728666,,,,
T1,L1,400,3,8,True,-1,0.5339339971542358,-0.1175529956817627,-0.8723044437429666,0.5,0.25,0.12,0.29933975340402147,,,,
T1,L1,400,3,9,True,-1,0.38383400440216064,-0.21889197826385498,0.29106852364182556,0.5,0.25,0.16000000000000003,0.1734341284555373,,,,
T1,L1,400,3,10,True,-1,0.38298100233078003,0.055052995681762695,0.9144439736218322,0.5,0.25,0.0,0.268442960194183,,,,
T1,L1,400,3,11,True,-1,0.43295300006866455,-0.13831090927124023,-1.0397694994145839,0.5,0.25,0.12,0.34722073119871616,,,,
T1,L1,400,3,12,True,-1,0.43365907669067383,-0.09772205352783203,1.4463839697855492,0.5,0.25,0.19999999999999996,0.4659655290014141,,,,
T1,L1,400,3,13,True,-1,0.4944150447845459,-0.16264796257019043,0.35857597564442767,0.5,0.25,0.12,0.2978856178281214,,,,
T1,L1,400,3,14,True,-1,0.46271610260009766,0.09978902339935303,-1.0801723817098619,0.5,0.25,0.07999999999999996,0.23401944815048484,,,,
T1,L1,400,3,15,True,-1,0.4764540195465088,-0.0806269645690918,0.49166741413383436,0.5,0.25,0.16000000000000003,0.152606392063454,,,,
T1,L1,400,3,16,True,-1,0.3564720153808594,-0.06361699104309082,-0.344336731670838,0.5,0.25,0.07999999999999996,0.4602405691479038,,,,
T1,L1,400,3,17,True,-1,0.558722972869873,-0.1140589714050293,-0.8424527941312846,0.5,0.25,0.19999999999999996,0.20926621433859138,,,,
T1,L1,400,3,18,True,-1,0.4079399108886719,0.10705697536468506,-0.8721564182951481,0.5,0.25,0.16000000000000003,0.26178225300245145,,,,
T1,L1,400,3,19,True,-1,0.6057701110839844,-0.07759690284729004,-1.0041124508791388,0.5,0.25,0.19999999999999996,0.38073829194736125,,,,
T1,L1,400,4,0,True,-1,0.44892406463623047,-0.1399550437927246,-0.9263035575006787,0.5,0.25,0.12,0.28054924758682886,,,,
T1,L1,400,4,1,True,-1,0.42635488510131836,-0.003618955612182617,-0.47621508887270086,0.5,0.25,0.16000000000000003,0.3109116973583059,,,,
T1,L1,400,4,2,True,-1,0.628173828125,0.025660037994384766,-0.5160137795436522,0.5,0.25,0.12,0.3321753464258023,,,,
T1,L1,400,4,3,True,-1,0.5519599914550781,0.08081603050231934,0.6263693387277132,0.5,0.25,0.19999999999999996,0.4058786926173038,,,,
T1,L1,400,4,4,True,-1,0.6171820163726807,-0.06087207794189453,-0.47606712562381914,0.5,0.25,0.16000000000000003,0.375647537964616,,,,
T1,L1,400,4,5,True,-1,0.48258495330810547,-0.01678001880645752,1.1909497603975736,0.5,0.25,0.12,0.2585787989028196,,,,
T1,L1,400,4,6,True,-1,0.6249508857727051,0.05291903018951416,0.8685390660890319,0.5,0.25,0.12,0.1407001749201803,,,,
T1,L1,400,4,7,True,-1,0.6199920177459717,-0.23728108406066895,-0.8805339732958015,0.5,0.25,0.28,0.18809639221422414,,,,
T1,L1,400,4,8,True,-1,0.6149269938468933,-0.052828073501586914,-0.950772770273297,0.5,0.25,0.19999999999999996,0.4224498646858804,,,,
T1,L1,400,4,9,True,-1,0.45015600323677063,-0.13159596920013428,-0.5766756006953255,0.5,0.25,0.07999999999999996,0.2524658332465982,,,,
T1,L1,400,4,10,True,-1,0.5950130224227905,-0.09974098205566406,0.08731772255627288,0.5,0.25,0.24,0.24694391025239057,,,,
T1,L1,400,4,11,True,-1,0.6421890258789062,-0.22020697593688965,-1.3098909461750556,0.5,0.25,0.31999999999999995,0.3320902454985689,,,,
T1,L1,400,4,12,True,-1,0.5179380178451538,-0.12410402297973633,-1.268074236879588,0.5,0.25,0.12,0.39491922786415,,,,
T1,L1,400,4,13,True,-1,0.5793629884719849,0.031378984451293945,0.7584509105339307,0.5,0.25,0.12,0.3181589469737018,,,,
T1,L1,400,4,14,True,-1,0.4137749671936035,-0.07807695865631104,-0.9677076198432111,0.5,0.25,0.16000000000000003,0.24056886234946584,,,,
T1,L1,400,4,15,True,-1,0.5794939994812012,-0.24326610565185547,-1.4032404613098983,0.5,0.25,0.31999999999999995,0.2245833941991187,,,,
T1,L1,400,4,16,True,-1,0.5286698341369629,-0.02480006217956543,-0.09954714163375554,0.5,0.25,0.12,0.20527916791578346,,,,
T1,L1,400,4,17,True,-1,0.5468220710754395,0.11318004131317139,1.2491486388539357,0.5,0.25,0.28,0.29555876972510253,,,,
